ds,date,country,sales,y,costs,unsubscriptions,billing_succes,taille,operateur,billing_channel
2018-01-01,2018-01-01,AE,583.0,2833.4085175760506,0.0,0.0,17714.0,885,0,0
2018-01-02,2018-01-02,AE,1008.0,2739.685686718473,0.0,0.0,16964.0,885,0,0
2018-01-03,2018-01-03,AE,749.0,2784.5624059718607,0.0,0.0,17295.0,885,0,0
2018-01-04,2018-01-04,AE,652.0,2784.061582290678,0.0,0.0,17304.0,885,0,0
2018-01-05,2018-01-05,AE,1722.0,2822.593643482027,0.0,0.0,17277.0,885,0,0
2018-01-06,2018-01-06,AE,909.0,2894.059724076914,0.0,0.0,17745.0,885,0,0
2018-01-07,2018-01-07,AE,824.0,2873.1826701203895,0.0,0.0,17425.0,885,0,0
2018-01-08,2018-01-08,AE,801.0,2812.610233946082,0.0,0.0,16977.0,885,0,0
2018-01-09,2018-01-09,AE,680.0,2936.8772313984514,0.0,0.0,18138.0,885,0,0
2018-01-10,2018-01-10,AE,679.0,2891.885274074734,0.0,0.0,18089.0,885,0,0
2018-01-11,2018-01-11,AE,796.0,2831.8678769606877,0.0,0.0,17253.0,885,0,0
2018-01-12,2018-01-12,AE,931.0,2997.535488329778,0.0,0.0,18435.0,885,0,0
2018-01-13,2018-01-13,AE,906.0,2784.3450582189607,0.0,0.0,16348.0,885,0,0
2018-01-14,2018-01-14,AE,935.0,2880.6313283456548,0.0,0.0,17428.0,885,0,0
2018-01-15,2018-01-15,AE,412.0,2708.8597460234446,0.0,0.0,16668.0,885,0,0
2018-01-16,2018-01-16,AE,564.0,3150.763222942211,0.0,0.0,19493.0,885,0,0
2018-01-17,2018-01-17,AE,630.0,2770.0754731979487,0.0,0.0,16736.0,885,0,0
2018-01-18,2018-01-18,AE,703.0,2871.770395963116,0.0,0.0,17118.0,885,0,0
2018-01-19,2018-01-19,AE,860.0,2810.9127820324848,0.0,0.0,16495.0,885,0,0
2018-01-20,2018-01-20,AE,739.0,3124.8694230336555,0.0,0.0,19710.0,885,0,0
2018-01-21,2018-01-21,AE,892.0,2957.483451577871,0.0,0.0,18685.0,885,0,0
2018-01-22,2018-01-22,AE,704.0,2940.153493499231,0.0,0.0,18538.0,885,0,0
2018-01-23,2018-01-23,AE,633.0,2898.0833318067967,0.0,0.0,18208.0,885,0,0
2018-01-24,2018-01-24,AE,682.0,2877.793894761641,0.0,0.0,17942.0,885,0,0
2018-01-25,2018-01-25,AE,954.0,3073.790513037245,0.0,0.0,19293.0,885,0,0
2018-01-26,2018-01-26,AE,1096.0,3051.876316447748,0.0,0.0,19027.0,885,0,0
2018-01-27,2018-01-27,AE,1092.0,3112.4266288574986,0.0,0.0,19253.0,885,0,0
2018-01-28,2018-01-28,AE,1255.0,3142.872332544097,0.0,0.0,19449.0,885,0,0
2018-01-29,2018-01-29,AE,837.0,3082.740426714597,0.0,0.0,19203.0,885,0,0
2018-01-30,2018-01-30,AE,953.0,3080.8895671588502,0.0,0.0,19173.0,885,0,0
2018-01-31,2018-01-31,AE,792.0,3324.5940171962725,0.0,0.0,20988.0,885,0,0
